date,open,high,low,close,volume
2022-03-25,174,177,169,171,2500000
2022-03-28,171,174,166,168,2700000
2022-03-29,168,171,163,171,2900000
2022-03-30,171,174,166,174,3100000
2022-03-31,174,177,169,177,3300000
2022-04-01,177,180,172,180,3500000
2022-04-04,180,183,175,176,3200000
2022-04-05,176,179,171,173,3000000
2022-04-06,173,176,168,170,2800000
2022-04-07,170,173,165,167,2600000
2022-04-08,167,170,162,170,2400000
2022-04-11,170,173,165,173,2600000
2022-04-12,173,176,168,176,2800000
2022-04-13,176,179,171,179,3000000
2022-04-14,179,182,174,182,3200000
2022-04-15,182,185,177,178,3400000
2022-04-18,178,181,173,175,3600000
2022-04-19,175,178,170,172,3300000
2022-04-20,172,175,167,169,3100000
2022-04-21,169,172,164,172,2900000
2022-04-22,172,175,167,175,2700000
2022-04-25,175,178,170,178,2500000
2022-04-26,178,181,173,181,2700000
2022-04-27,181,184,176,177,2900000
2022-04-28,177,180,172,174,3100000
2022-04-29,174,177,169,171,3300000
2022-05-02,171,174,166,168,3500000
2022-05-03,168,171,163,171,3700000
2022-05-04,171,174,166,174,3400000
2022-05-05,174,177,169,177,3200000
2022-05-06,177,180,172,180,3000000
2022-05-09,180,183,175,183,2800000
2022-05-10,183,186,178,179,3000000
2022-05-11,179,182,174,176,3200000
2022-05-12,176,179,171,173,3400000
2022-05-13,173,176,168,170,3600000
2022-05-16,170,173,165,173,3800000
2022-05-17,173,176,168,176,4000000
2022-05-18,176,179,171,179,3700000
2022-05-19,179,182,174,182,3500000
2022-05-20,182,185,177,178,3300000
2022-05-23,178,181,173,175,3100000
2022-05-24,175,178,170,172,2900000
2022-05-25,172,175,167,169,3100000
2022-05-26,169,172,164,172,3300000
2022-05-27,172,175,167,175,3500000
2022-05-30,175,178,170,178,3700000
2022-05-31,178,181,173,181,3900000
2022-06-01,181,184,176,184,4100000
2022-06-02,184,187,179,180,3800000
2022-06-03,180,183,175,177,3600000
2022-06-06,177,180,172,174,3400000
2022-06-07,174,177,169,171,3200000
2022-06-08,171,174,166,174,3000000
2022-06-09,174,177,169,177,3200000
2022-06-10,177,180,172,180,3400000
2022-06-13,180,183,175,183,3600000
2022-06-14,183,186,178,186,3800000
2022-06-15,186,189,181,182,4000000
2022-06-16,182,185,177,179,4200000
2022-06-17,179,182,174,176,3900000
2022-06-20,176,179,171,173,3700000
2022-06-21,173,176,168,170,3500000
2022-06-22,170,173,165,173,3300000
2022-06-23,173,176,168,176,3100000
2022-06-24,176,179,171,179,3300000
2022-06-27,179,182,174,182,3500000
2022-06-28,182,185,177,185,3700000
2022-06-29,185,188,180,188,3900000
2022-06-30,188,191,183,184,4100000
2022-07-01,184,187,179,181,4300000
2022-07-04,181,184,176,178,4000000
2022-07-05,178,181,173,175,3800000
2022-07-06,175,178,170,172,3600000
2022-07-07,172,175,167,175,3400000
2022-07-08,175,178,170,178,3200000
2022-07-11,178,181,173,181,3400000
2022-07-12,181,184,176,184,3400000
2022-07-13,184,187,179,187,3400000
2022-07-14,187,190,182,190,3400000
2022-07-15,190,193,185,186,3400000
2022-07-18,186,189,181,183,3400000
2022-07-19,183,186,178,180,3400000
2022-07-20,180,183,175,177,3400000
2022-07-21,177,180,172,174,3400000
2022-07-22,174,177,169,177,3400000
2022-07-25,177,180,172,180,3400000
2022-07-26,180,183,175,183,3300000
2022-07-27,183,186,178,186,3800000
2022-07-28,186,189,181,189,3700000
2022-07-29,189,192,184,192,3200000
2022-08-01,192,195,187,188,3000000
2022-08-02,188,191,183,185,3200000
2022-08-03,185,188,180,182,3400000
2022-08-04,182,185,177,179,3400000
2022-08-05,179,182,174,176,3500000
2022-08-08,176,179,171,173,3100000
